"","...1","...2","duration..ms.","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","spec_rate","labels"
"22",114061,0.6090359,0.0458586,0.5227503,0.421,0.7674846,0.03326425,0.253012,0,0.0933,0.4492462,0.4964776,0.003131914,0
"23",21327,0.1255289,0.03000144,0.5743175,0.754,0.8345078,0.03367876,0.2188755,0,0.448,0.9728643,0.3648537,0.004748858,1
"24",1148,0.00505512060330436,0.0373576242654243,0.80788675429727,0.39,0.707929281905772,0.105699481865285,0.39859437751004,0.711,0.107,0.982914572864322,0.374944399493347,0.0121088274855965,0
"25",82639,0.4568462,0.05133451,0.4519717,0.589,0.8401827,0.03585492,0.3293173,0.000117,0.0763,0.3266332,0.3391483,0.00302835,0
"26",59963,0.3325406,0.04767074,0.7199191,0.682,0.818933,0.02746114,0.01626506,0.0375,0.347,0.4693467,0.4109651,0.00249095,0
"27",16058,0.09351793,0.03566282,0.5500506,0.219,0.5715444,0.03274611,0.8514056,0.0476,0.11,0.9065327,0.4093426,0.003920779,0
"28",54082,0.3089272,0.07717973,0.8523761,0.837,0.851704,0.2766839,0.2620482,0,0.222,0.7778894,0.3774268,0.01572806,1
"29",962,0.00423838581543953,0.0314979809770836,0.874620829120324,0.504,0.77437560412834,0.353367875647668,0.0656626506024096,2.5e-05,0.119,0.373869346733668,0.423457694898309,0.0475914226508532,1
"30",143553,0.7627224,0.04685963,0.619818,0.837,0.7738923,0.05160622,0.1415663,0.000889,0.22,0.8532663,0.5478546,0.004759033,1
"31",41718,0.2444088,0.05710351,0.2851365,0.105,0.6195005,0.03409326,0.9257028,0.387,0.11,0.1055276,0.6173372,0.002597845,0
"32",146435,0.7776359,0.05857169,0.6491405,0.54,0.7980574,0.04373057,0.03012048,0,0.33,0.3959799,0.4660403,0.003251241,1
"33",28408,0.1682474,0.04472076,0.5520728,0.574,0.8638178,0.03025907,0.686747,0,0.169,0.5266332,0.6432799,0.002918554,1
"34",185098,0.9788692,0.0498997,0.627907,0.264,0.7825138,0.05896373,0.7259036,0,0.128,0.3748744,0.3228261,0.005118189,0
"35",145716,0.7741279,0.07521465,0.4418605,0.708,0.8321069,0.0984456,0.1355422,6.57e-05,0.152,0.1085427,0.5844768,0.005738796,1
