"","...1","...2","duration..ms.","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","spec_rate","labels"
"71",84020,0.4636499,0.06354708,0.7431749,0.289,0.7747342,0.03129534,0.4427711,0.000545,0.0971,0.3467337,0.3725636,0.002149741,0
"72",107159,0.5737796,0.06184172,0.7340748,0.829,0.8641764,0.03658031,0.0124498,0,0.254,0.7065327,0.4066865,0.002580042,1
"73",78695,0.4369171,0.08176945,0.4924166,0.63,0.8013158,0.03564767,0.7309237,0.101,0.208,0.5115578,0.5389246,0.001915182,0
"74",74027,0.4108896,0.07634137,0.7280081,0.804,0.8416638,0.03637306,0.4809237,0,0.274,0.8603015,0.4110498,0.002089786,1
"75",119825,0.6419284,0.07458067,0.4236603,0.642,0.8145209,0.03015544,0.01405622,0.0393,0.0771,0.2894472,0.4029925,0.001772463,0
"76",102484,0.5557682,0.048513,0.4014156,0.311,0.8161735,0.0334715,0.9939759,0.0796,0.126,0.4422111,0.4994472,0.002985379,0
"77",118139,0.6343978,0.03981877,0.7310415,0.94,0.8139908,0.03875648,0.6626506,1.09e-05,0.307,0.9266332,0.3758594,0.004177755,1
"78",124991,0.6666535,0.06209003,0.5975733,0.749,0.8394967,0.1233161,0.8453815,0,0.0976,0.4251256,0.5124227,0.008663822,1
"79",38418,0.221864,0.07946903,0.8503539,0.834,0.8512519,0.05989637,0.0311245,0.838,0.647,0.8261307,0.5422119,0.003308967,1
"80",157465,0.8337819,0.05410042,0.6157735,0.231,0.7429142,0.0388601,0.9016064,5.63e-05,0.316,0.3557789,0.3558729,0.003119961,0
"81",186671,0.9857665,0.02791652,0.6582406,0.491,0.8090331,0.1761658,0.2028112,2.33e-05,0.065,0.4371859,0.6065221,0.02657919,1
"82",29687,0.1737702,0.04861366,0.5682508,0.821,0.8561941,0.02870466,0.3012048,0,0.519,0.8974874,0.446973,0.002555111,1
"83",146093,0.7761967,0.03621144,0.8766431,0.409,0.7991799,0.5046632,0.05341365,0.00012,0.104,0.8773869,0.6905943,0.05955404,1
"84",58948,0.3286944,0.03872375,0.9069767,0.335,0.7631037,0.4331606,0.4628514,1.27e-05,0.147,0.3648241,0.571641,0.04795225,0
"85",171800,0.9097094,0.05093772,0.7037412,0.89,0.8778647,0.02974093,0.0689759,1.75e-06,0.544,0.7939698,0.4766986,0.002530832,1
